"troph","FD.metric","state.metric","mean.cor","median.cor","cor.se","median.lag","lag.se","nsig","prop.sig"
"Phytoplankton","FDis","Community",0.5697,0.5058,0.0318,-3,6.6984,5,1
"Phytoplankton","FDis","Density",0.5221,0.4952,0.0143,-1,7.2147,5,1
"Phytoplankton","FDis","FI",0.478,0.497,0.0213,2,8.7784,4,0.8
"Phytoplankton","FDis","MVI",0.4625,0.3685,0.0413,-15,5.1614,1,0.2
"Phytoplankton","FDis","Z_P.ratio",0.5497,0.5184,0.0219,-2,4.5834,5,1
"Phytoplankton","FEve","Community",0.4174,0.4485,0.0326,-1,2.9766,4,0.8
"Phytoplankton","FEve","Density",0.4254,0.4129,0.0322,41,9.4365,3,0.6
"Phytoplankton","FEve","FI",0.4571,0.4353,0.0318,-5,5.2027,4,0.8
"Phytoplankton","FEve","MVI",0.3882,0.4376,0.0315,-40,7.3343,2,0.4
"Phytoplankton","FEve","Z_P.ratio",0.3776,0.3481,0.0262,14,7.8223,2,0.4
"Phytoplankton","FRic","Community",0.5305,0.5591,0.0229,-6,8.369,3,0.6
"Phytoplankton","FRic","Density",0.6354,0.5592,0.0433,12,7.0719,4,0.8
"Phytoplankton","FRic","FI",0.6387,0.5722,0.0381,7,5.6185,5,1
"Phytoplankton","FRic","MVI",0.4916,0.4421,0.034,21,10.1951,2,0.4
"Phytoplankton","FRic","Z_P.ratio",0.5166,0.4676,0.0203,-3,8.5515,3,0.6
"Zooplankton","FDis","Community",0.4299,0.4185,0.0306,-16,7.782,3,0.6
"Zooplankton","FDis","Density",0.5194,0.3992,0.0414,12,4.0433,5,1
"Zooplankton","FDis","FI",0.4985,0.4322,0.0249,18,5.0271,4,0.8
"Zooplankton","FDis","MVI",0.3957,0.3442,0.0382,29,9.3723,2,0.4
"Zooplankton","FDis","Z_P.ratio",0.4141,0.3725,0.0204,-15,3.4047,4,0.8
"Zooplankton","FEve","Community",0.4071,0.3929,0.015,25,8.5853,4,0.8
"Zooplankton","FEve","Density",0.498,0.4325,0.0395,26,9.3695,3,0.6
"Zooplankton","FEve","FI",0.4527,0.4388,0.0352,43,5.1988,2,0.4
"Zooplankton","FEve","MVI",0.4159,0.3994,0.025,-17,10.6465,2,0.4
"Zooplankton","FEve","Z_P.ratio",0.4221,0.4158,0.0086,3,7.3558,3,0.6
"Zooplankton","FRic","Community",0.5171,0.5591,0.0297,-44,9.423,4,0.8
"Zooplankton","FRic","Density",0.6713,0.749,0.0479,21,8.2515,5,1
"Zooplankton","FRic","FI",0.5506,0.6916,0.0621,-26,9.49,2,0.4
"Zooplankton","FRic","MVI",0.417,0.4113,0.0213,29,10.2717,2,0.4
"Zooplankton","FRic","Z_P.ratio",0.5504,0.5675,0.0263,-16,10.6371,4,0.8
